ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
2	"ENSDARG00000102889"	"sept15"	chr25	-	12901489	12901589	12901489	12901586	12902015	12902242
8	"ENSDARG00000036671"	"tnni4b.2"	chr25	+	20091277	20091326	20091281	20091326	20091020	20091070
20	"ENSDARG00000079983"	"agbl2"	chr25	-	28600088	28600191	28600088	28600188	28604408	28604442
22	"ENSDARG00000101251"	"ldha"	chr25	+	25124677	25124812	25124683	25124812	25123384	25123484
33	"ENSDARG00000044525"	"pparda"	chr22	+	1007834	1007968	1007846	1007968	1006527	1006873
57	"ENSDARG00000101458"	"r3hdm1"	chr22	+	12366515	12367055	12366888	12367055	12361488	12361706
58	"ENSDARG00000101458"	"r3hdm1"	chr22	+	12366873	12367055	12366888	12367055	12361488	12361706
59	"ENSDARG00000101458"	"r3hdm1"	chr22	+	12366873	12367055	12366888	12367055	12366515	12366770
72	"ENSDARG00000090230"	"tmem108"	chr24	+	9846558	9846642	9846563	9846642	9746291	9746421
73	"ENSDARG00000009868"	"dcaf11"	chr24	-	12979071	12979258	12979071	12979235	12983782	12983829
81	"ENSDARG00000026329"	"arhgap29a"	chr24	+	28528121	28528340	28528193	28528340	28526810	28526871
96	"ENSDARG00000039729"	"asap1b"	chr24	-	10909108	10909187	10909108	10909183	10915749	10915818
116	"ENSDARG00000018065"	"ntm"	chr10	+	30589074	30589172	30589086	30589172	30575937	30576089
117	"ENSDARG00000018065"	"ntm"	chr10	+	30589074	30589172	30589086	30589172	30579348	30579384
123	"ENSDARG00000019233"	"nln"	chr10	+	15434232	15434599	15434435	15434599	15421086	15421222
126	"ENSDARG00000104314"	"nrg1"	chr10	-	7311973	7312112	7311973	7312109	7346653	7347311
127	"ENSDARG00000104314"	"nrg1"	chr10	-	7311973	7312112	7311973	7312109	7351817	7352110
130	"ENSDARG00000087779"	"pum3"	chr10	-	15325006	15325097	15325006	15325095	15325283	15325375
139	"ENSDARG00000115511"	"CU468041.2"	chr22	-	6047742	6048054	6047742	6047880	6054673	6054749
141	"ENSDARG00000076371"	NA	chr11	-	44191569	44192351	44191569	44191701	44194030	44194132
143	"ENSDARG00000104682"	"tpm2"	chr10	+	6359610	6359743	6359673	6359743	6353955	6354031
144	"ENSDARG00000103619"	"si:ch73-238c9.1"	chr11	+	7277185	7277332	7277189	7277332	7277024	7277101
145	"ENSDARG00000078760"	"cacna2d3"	chr11	-	36721662	36721737	36721662	36721734	36727300	36727318
146	"ENSDARG00000078760"	"cacna2d3"	chr11	-	36721662	36721737	36721662	36721734	36727873	36728007
152	"ENSDARG00000044820"	"cstf1"	chr11	-	27826973	27827163	27826973	27827158	27827484	27827533
161	"ENSDARG00000078658"	"supt20"	chr10	-	35046852	35047148	35046852	35046978	35051613	35051691
169	"ENSDARG00000003165"	"nr2f6b"	chr11	+	6117096	6117477	6117126	6117477	6116095	6116168
178	"ENSDARG00000044669"	"hp1bp3"	chr11	+	37616706	37616855	37616709	37616855	37616561	37616603
180	"ENSDARG00000100115"	"dnah1"	chr11	-	34697980	34698121	34697980	34698082	34699954	34700134
184	"ENSDARG00000089681"	"btf3l4"	chr11	+	13046793	13046860	13046796	13046860	13046648	13046721
186	"ENSDARG00000070846"	"dazap1"	chr11	+	5905860	5906013	5905863	5906013	5889013	5889062
189	"ENSDARG00000057708"	"phtf1"	chr11	-	18818411	18818713	18818411	18818468	18818868	18819178
191	"ENSDARG00000105511"	"BX248521.2"	chr11	-	37013562	37013718	37013562	37013700	37015453	37015507
196	"ENSDARG00000078335"	"amot"	chr21	+	37513487	37515354	37514372	37515354	37512252	37512396
203	"ENSDARG00000025549"	"ndufaf1"	chr13	+	33248154	33248719	33248157	33248719	33247096	33247157
210	"ENSDARG00000041925"	"cryba2b"	chr9	-	11559924	11560110	11559924	11560109	11560308	11560427
211	"ENSDARG00000025854"	"ddx51"	chr8	+	49082549	49082613	49082553	49082613	49082345	49082451
237	"ENSDARG00000101744"	"elavl1b"	chr11	-	14989373	14989554	14989373	14989551	15000946	15001002
239	"ENSDARG00000032458"	"mark2b"	chr7	+	24972537	24972576	24972540	24972576	24968660	24968687
240	"ENSDARG00000058088"	"aifm1"	chr5	-	22562027	22562194	22562027	22562188	22564520	22564580
256	"ENSDARG00000013312"	"cadps2"	chr25	+	28253550	28253625	28253553	28253625	28244193	28244341
257	"ENSDARG00000013312"	"cadps2"	chr25	+	28253550	28253625	28253553	28253625	28251867	28251882
259	"ENSDARG00000075798"	"usp38"	chr1	+	35481663	35481881	35481687	35481881	35480959	35481118
262	"ENSDARG00000105434"	"grxcr1a"	chr14	-	44834927	44835167	44834927	44835163	44840933	44841503
263	"ENSDARG00000098726"	"rptor"	chr6	-	17743350	17743457	17743350	17743451	17770071	17770119
265	"ENSDARG00000087599"	NA	chr14	+	36521437	36521832	36521440	36521832	36497249	36497678
268	"ENSDARG00000096565"	"CR392024.1"	chr16	-	20933739	20933979	20933739	20933814	20935371	20935507
270	"ENSDARG00000052063"	"col4a5"	chr7	+	51148258	51148339	51148262	51148339	51148134	51148165
284	"ENSDARG00000042534"	"rsrc2"	chr5	-	67283194	67283392	67283194	67283370	67291982	67292112
286	"ENSDARG00000018460"	"mbnl2"	chr1	+	2205666	2205761	2205708	2205761	2203815	2203851
289	"ENSDARG00000061398"	"epb41l4b"	chr16	+	26620108	26620164	26620111	26620164	26616614	26616693
290	"ENSDARG00000061398"	"epb41l4b"	chr16	+	26620108	26620164	26620111	26620164	26619551	26619596
291	"ENSDARG00000092358"	"BX469930.1"	chr1	+	57927971	57928017	57927973	57928017	57927488	57927623
297	"ENSDARG00000075870"	"triobpa"	chr1	+	54044043	54044100	54044067	54044100	54043210	54043285
309	"ENSDARG00000087893"	"rnf216"	chr3	-	40655686	40656053	40655686	40655848	40656141	40656218
313	"ENSDARG00000101983"	"pkn2"	chr2	+	22476751	22477141	22476937	22477141	22472112	22472220
325	"ENSDARG00000102258"	"si:dkey-1b17.1"	chr22	+	1632547	1632651	1632556	1632651	1630685	1630753
356	"ENSDARG00000038780"	"ubtfl"	chr2	-	32361285	32361402	32361285	32361399	32361580	32361774
361	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16818889	16819041	16818892	16819041	16814699	16814790
363	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16818889	16819041	16818892	16819041	16817271	16817382
