GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0003009	skeletal muscle contraction	16	3	0.26	0.0021	ENSDARG00000018105,ENSDARG00000020574,ENSDARG00000029069,ENSDARG00000029995,ENSDARG00000035958,ENSDARG00000036671,ENSDARG00000037539,ENSDARG00000037954,ENSDARG00000042559,ENSDARG00000045592,ENSDARG00000052708,ENSDARG00000070835,ENSDARG00000073766,ENSDARG00000099870,ENSDARG00000099959,ENSDARG00000103969
GO:0034220	ion transmembrane transport	286	11	4.69	0.0067	ENSDARG00000000730,ENSDARG00000001354,ENSDARG00000001788,ENSDARG00000001803,ENSDARG00000001835,ENSDARG00000001870,ENSDARG00000002300,ENSDARG00000002791,ENSDARG00000002840,ENSDARG00000003615,ENSDARG00000003695,ENSDARG00000003699,ENSDARG00000005894,ENSDARG00000006370,ENSDARG00000006760,ENSDARG00000006923,ENSDARG00000007129,ENSDARG00000007739,ENSDARG00000007788,ENSDARG00000008140,ENSDARG00000008398,ENSDARG00000008772,ENSDARG00000008982,ENSDARG00000009447,ENSDARG00000009482,ENSDARG00000009901,ENSDARG00000009939,ENSDARG00000010149,ENSDARG00000010472,ENSDARG00000010933,ENSDARG00000011259,ENSDARG00000011422,ENSDARG00000011553,ENSDARG00000011909,ENSDARG00000012881,ENSDARG00000013144,ENSDARG00000013222,ENSDARG00000013252,ENSDARG00000013443,ENSDARG00000013623,ENSDARG00000013694,ENSDARG00000013730,ENSDARG00000013749,ENSDARG00000013855,ENSDARG00000014057,ENSDARG00000014313,ENSDARG00000014496,ENSDARG00000014587,ENSDARG00000014655,ENSDARG00000014804,ENSDARG00000014858,ENSDARG00000015033,ENSDARG00000015654,ENSDARG00000015790,ENSDARG00000015985,ENSDARG00000016141,ENSDARG00000016439,ENSDARG00000016695,ENSDARG00000016835,ENSDARG00000016964,ENSDARG00000017775,ENSDARG00000018105,ENSDARG00000018259,ENSDARG00000019253,ENSDARG00000019342,ENSDARG00000019404,ENSDARG00000019556,ENSDARG00000019856,ENSDARG00000020212,ENSDARG00000020574,ENSDARG00000020847,ENSDARG00000020893,ENSDARG00000020901,ENSDARG00000022424,ENSDARG00000022518,ENSDARG00000023151,ENSDARG00000023445,ENSDARG00000023683,ENSDARG00000023713,ENSDARG00000023797,ENSDARG00000023886,ENSDARG00000023967,ENSDARG00000024047,ENSDARG00000024167,ENSDARG00000024478,ENSDARG00000024560,ENSDARG00000024744,ENSDARG00000024771,ENSDARG00000025032,ENSDARG00000025566,ENSDARG00000026137,ENSDARG00000026682,ENSDARG00000027065,ENSDARG00000027828,ENSDARG00000028824,ENSDARG00000029439,ENSDARG00000029457,ENSDARG00000030694,ENSDARG00000030750,ENSDARG00000031278,ENSDARG00000031757,ENSDARG00000031956,ENSDARG00000032577,ENSDARG00000032714,ENSDARG00000032737,ENSDARG00000032970,ENSDARG00000034307,ENSDARG00000034534,ENSDARG00000034588,ENSDARG00000035056,ENSDARG00000035458,ENSDARG00000035565,ENSDARG00000035880,ENSDARG00000036147,ENSDARG00000036232,ENSDARG00000036848,ENSDARG00000037153,ENSDARG00000037498,ENSDARG00000037679,ENSDARG00000037905,ENSDARG00000038106,ENSDARG00000039131,ENSDARG00000039181,ENSDARG00000039392,ENSDARG00000040338,ENSDARG00000041223,ENSDARG00000041431,ENSDARG00000042107,ENSDARG00000042552,ENSDARG00000042837,ENSDARG00000042859,ENSDARG00000043021,ENSDARG00000043443,ENSDARG00000043465,ENSDARG00000043474,ENSDARG00000044752,ENSDARG00000044808,ENSDARG00000044902,ENSDARG00000045437,ENSDARG00000045514,ENSDARG00000045638,ENSDARG00000045944,ENSDARG00000051852,ENSDARG00000052011,ENSDARG00000052155,ENSDARG00000052497,ENSDARG00000052765,ENSDARG00000052769,ENSDARG00000052782,ENSDARG00000053853,ENSDARG00000054127,ENSDARG00000054458,ENSDARG00000054588,ENSDARG00000054658,ENSDARG00000055565,ENSDARG00000056101,ENSDARG00000056633,ENSDARG00000056719,ENSDARG00000056985,ENSDARG00000057025,ENSDARG00000057272,ENSDARG00000057853,ENSDARG00000058015,ENSDARG00000058062,ENSDARG00000058103,ENSDARG00000058117,ENSDARG00000058498,ENSDARG00000058953,ENSDARG00000059792,ENSDARG00000059798,ENSDARG00000059805,ENSDARG00000059883,ENSDARG00000059993,ENSDARG00000060197,ENSDARG00000060439,ENSDARG00000060496,ENSDARG00000061165,ENSDARG00000061544,ENSDARG00000061665,ENSDARG00000061741,ENSDARG00000062058,ENSDARG00000062084,ENSDARG00000062174,ENSDARG00000062182,ENSDARG00000062346,ENSDARG00000062362,ENSDARG00000062427,ENSDARG00000062447,ENSDARG00000062467,ENSDARG00000062687,ENSDARG00000062744,ENSDARG00000063133,ENSDARG00000063433,ENSDARG00000063435,ENSDARG00000068940,ENSDARG00000069090,ENSDARG00000069478,ENSDARG00000069660,ENSDARG00000070083,ENSDARG00000070717,ENSDARG00000070724,ENSDARG00000070726,ENSDARG00000071235,ENSDARG00000071331,ENSDARG00000073881,ENSDARG00000073952,ENSDARG00000074002,ENSDARG00000074149,ENSDARG00000074255,ENSDARG00000074552,ENSDARG00000074746,ENSDARG00000075382,ENSDARG00000075618,ENSDARG00000075931,ENSDARG00000076030,ENSDARG00000076318,ENSDARG00000076826,ENSDARG00000076870,ENSDARG00000077327,ENSDARG00000077691,ENSDARG00000077967,ENSDARG00000078113,ENSDARG00000078187,ENSDARG00000078331,ENSDARG00000078733,ENSDARG00000078760,ENSDARG00000078800,ENSDARG00000078959,ENSDARG00000078992,ENSDARG00000079295,ENSDARG00000086103,ENSDARG00000086647,ENSDARG00000088383,ENSDARG00000089212,ENSDARG00000089255,ENSDARG00000089791,ENSDARG00000090106,ENSDARG00000090696,ENSDARG00000090724,ENSDARG00000090861,ENSDARG00000091126,ENSDARG00000091232,ENSDARG00000091293,ENSDARG00000091306,ENSDARG00000092553,ENSDARG00000093448,ENSDARG00000094561,ENSDARG00000095897,ENSDARG00000097057,ENSDARG00000097292,ENSDARG00000098290,ENSDARG00000098355,ENSDARG00000098856,ENSDARG00000098918,ENSDARG00000099014,ENSDARG00000099186,ENSDARG00000100420,ENSDARG00000100958,ENSDARG00000100971,ENSDARG00000101144,ENSDARG00000101363,ENSDARG00000101368,ENSDARG00000101641,ENSDARG00000102050,ENSDARG00000102335,ENSDARG00000102362,ENSDARG00000102453,ENSDARG00000102773,ENSDARG00000103476,ENSDARG00000104005,ENSDARG00000104204,ENSDARG00000104387,ENSDARG00000104719,ENSDARG00000104834,ENSDARG00000104868,ENSDARG00000105142,ENSDARG00000105344,ENSDARG00000105485,ENSDARG00000109442,ENSDARG00000110642,ENSDARG00000111812,ENSDARG00000112343,ENSDARG00000113064,ENSDARG00000113525,ENSDARG00000115557,ENSDARG00000115573
GO:0032787	monocarboxylic acid metabolic process	110	6	1.81	0.0090	ENSDARG00000000540,ENSDARG00000001169,ENSDARG00000002219,ENSDARG00000002305,ENSDARG00000002947,ENSDARG00000004078,ENSDARG00000004687,ENSDARG00000005423,ENSDARG00000006031,ENSDARG00000006240,ENSDARG00000007127,ENSDARG00000007421,ENSDARG00000012387,ENSDARG00000012801,ENSDARG00000013750,ENSDARG00000014179,ENSDARG00000014287,ENSDARG00000014674,ENSDARG00000014806,ENSDARG00000015343,ENSDARG00000015563,ENSDARG00000015918,ENSDARG00000016789,ENSDARG00000017444,ENSDARG00000017781,ENSDARG00000018653,ENSDARG00000018944,ENSDARG00000019532,ENSDARG00000019702,ENSDARG00000020239,ENSDARG00000020956,ENSDARG00000021346,ENSDARG00000022456,ENSDARG00000025012,ENSDARG00000025338,ENSDARG00000026726,ENSDARG00000027419,ENSDARG00000028000,ENSDARG00000030514,ENSDARG00000030765,ENSDARG00000031044,ENSDARG00000031894,ENSDARG00000032079,ENSDARG00000033413,ENSDARG00000036237,ENSDARG00000037057,ENSDARG00000037091,ENSDARG00000037284,ENSDARG00000037781,ENSDARG00000038703,ENSDARG00000038845,ENSDARG00000038865,ENSDARG00000038900,ENSDARG00000039007,ENSDARG00000039452,ENSDARG00000039914,ENSDARG00000040988,ENSDARG00000042010,ENSDARG00000042122,ENSDARG00000045522,ENSDARG00000046143,ENSDARG00000053483,ENSDARG00000053684,ENSDARG00000054191,ENSDARG00000054323,ENSDARG00000057128,ENSDARG00000057365,ENSDARG00000057661,ENSDARG00000058229,ENSDARG00000058285,ENSDARG00000058463,ENSDARG00000059770,ENSDARG00000060504,ENSDARG00000060594,ENSDARG00000060679,ENSDARG00000060797,ENSDARG00000061214,ENSDARG00000061585,ENSDARG00000061994,ENSDARG00000062132,ENSDARG00000062744,ENSDARG00000067520,ENSDARG00000068415,ENSDARG00000068551,ENSDARG00000068967,ENSDARG00000070673,ENSDARG00000070826,ENSDARG00000073820,ENSDARG00000074169,ENSDARG00000075931,ENSDARG00000076487,ENSDARG00000078512,ENSDARG00000087657,ENSDARG00000088357,ENSDARG00000088524,ENSDARG00000093448,ENSDARG00000098481,ENSDARG00000098831,ENSDARG00000099079,ENSDARG00000099546,ENSDARG00000099755,ENSDARG00000099960,ENSDARG00000100095,ENSDARG00000100185,ENSDARG00000100718,ENSDARG00000101239,ENSDARG00000103380,ENSDARG00000103735,ENSDARG00000103826,ENSDARG00000113657
GO:0006082	organic acid metabolic process	265	13	4.35	0.0103	ENSDARG00000000540,ENSDARG00000001169,ENSDARG00000001463,ENSDARG00000002219,ENSDARG00000002305,ENSDARG00000002745,ENSDARG00000002917,ENSDARG00000002947,ENSDARG00000003693,ENSDARG00000003750,ENSDARG00000004078,ENSDARG00000004687,ENSDARG00000005236,ENSDARG00000005423,ENSDARG00000005643,ENSDARG00000005840,ENSDARG00000006031,ENSDARG00000006240,ENSDARG00000007024,ENSDARG00000007127,ENSDARG00000007294,ENSDARG00000007377,ENSDARG00000007421,ENSDARG00000007715,ENSDARG00000008237,ENSDARG00000008816,ENSDARG00000010316,ENSDARG00000010862,ENSDARG00000011410,ENSDARG00000012387,ENSDARG00000012801,ENSDARG00000013095,ENSDARG00000013227,ENSDARG00000013250,ENSDARG00000013430,ENSDARG00000013750,ENSDARG00000014179,ENSDARG00000014230,ENSDARG00000014287,ENSDARG00000014674,ENSDARG00000014676,ENSDARG00000014806,ENSDARG00000015343,ENSDARG00000015537,ENSDARG00000015563,ENSDARG00000015918,ENSDARG00000016415,ENSDARG00000016721,ENSDARG00000016733,ENSDARG00000016789,ENSDARG00000016864,ENSDARG00000017115,ENSDARG00000017444,ENSDARG00000017571,ENSDARG00000017659,ENSDARG00000017772,ENSDARG00000017781,ENSDARG00000018008,ENSDARG00000018266,ENSDARG00000018351,ENSDARG00000018478,ENSDARG00000018653,ENSDARG00000018944,ENSDARG00000019532,ENSDARG00000019644,ENSDARG00000019702,ENSDARG00000019838,ENSDARG00000020143,ENSDARG00000020239,ENSDARG00000020448,ENSDARG00000020956,ENSDARG00000021172,ENSDARG00000021346,ENSDARG00000022456,ENSDARG00000022631,ENSDARG00000022650,ENSDARG00000023645,ENSDARG00000023648,ENSDARG00000025012,ENSDARG00000025338,ENSDARG00000025977,ENSDARG00000026348,ENSDARG00000026726,ENSDARG00000027419,ENSDARG00000027491,ENSDARG00000027984,ENSDARG00000028000,ENSDARG00000030278,ENSDARG00000030514,ENSDARG00000030700,ENSDARG00000030765,ENSDARG00000031044,ENSDARG00000031894,ENSDARG00000032079,ENSDARG00000033361,ENSDARG00000033413,ENSDARG00000033537,ENSDARG00000034270,ENSDARG00000035602,ENSDARG00000035869,ENSDARG00000036082,ENSDARG00000036164,ENSDARG00000036237,ENSDARG00000037057,ENSDARG00000037091,ENSDARG00000037176,ENSDARG00000037284,ENSDARG00000037307,ENSDARG00000037378,ENSDARG00000037781,ENSDARG00000038207,ENSDARG00000038359,ENSDARG00000038384,ENSDARG00000038475,ENSDARG00000038703,ENSDARG00000038845,ENSDARG00000038865,ENSDARG00000038900,ENSDARG00000039007,ENSDARG00000039343,ENSDARG00000039452,ENSDARG00000039914,ENSDARG00000040492,ENSDARG00000040555,ENSDARG00000040988,ENSDARG00000041068,ENSDARG00000041895,ENSDARG00000042010,ENSDARG00000042122,ENSDARG00000042221,ENSDARG00000042853,ENSDARG00000042956,ENSDARG00000042980,ENSDARG00000042982,ENSDARG00000042990,ENSDARG00000043371,ENSDARG00000044134,ENSDARG00000044575,ENSDARG00000044753,ENSDARG00000044809,ENSDARG00000044935,ENSDARG00000045522,ENSDARG00000045568,ENSDARG00000046143,ENSDARG00000051756,ENSDARG00000051816,ENSDARG00000052124,ENSDARG00000052816,ENSDARG00000053483,ENSDARG00000053500,ENSDARG00000053684,ENSDARG00000054191,ENSDARG00000054323,ENSDARG00000054849,ENSDARG00000055036,ENSDARG00000055053,ENSDARG00000055370,ENSDARG00000056717,ENSDARG00000057099,ENSDARG00000057128,ENSDARG00000057334,ENSDARG00000057365,ENSDARG00000057661,ENSDARG00000058005,ENSDARG00000058102,ENSDARG00000058229,ENSDARG00000058285,ENSDARG00000058463,ENSDARG00000059070,ENSDARG00000059770,ENSDARG00000060494,ENSDARG00000060504,ENSDARG00000060594,ENSDARG00000060678,ENSDARG00000060679,ENSDARG00000060797,ENSDARG00000061100,ENSDARG00000061214,ENSDARG00000061375,ENSDARG00000061400,ENSDARG00000061585,ENSDARG00000061994,ENSDARG00000062132,ENSDARG00000062397,ENSDARG00000062549,ENSDARG00000062744,ENSDARG00000062781,ENSDARG00000062812,ENSDARG00000067520,ENSDARG00000068415,ENSDARG00000068551,ENSDARG00000068602,ENSDARG00000068910,ENSDARG00000068967,ENSDARG00000069003,ENSDARG00000069095,ENSDARG00000069142,ENSDARG00000069630,ENSDARG00000070043,ENSDARG00000070230,ENSDARG00000070673,ENSDARG00000070775,ENSDARG00000070826,ENSDARG00000071082,ENSDARG00000071233,ENSDARG00000071345,ENSDARG00000071429,ENSDARG00000073820,ENSDARG00000074169,ENSDARG00000075385,ENSDARG00000075454,ENSDARG00000075768,ENSDARG00000075931,ENSDARG00000076487,ENSDARG00000077004,ENSDARG00000078512,ENSDARG00000078546,ENSDARG00000079848,ENSDARG00000086746,ENSDARG00000087657,ENSDARG00000088357,ENSDARG00000088524,ENSDARG00000092774,ENSDARG00000093448,ENSDARG00000094609,ENSDARG00000098386,ENSDARG00000098441,ENSDARG00000098481,ENSDARG00000098831,ENSDARG00000099079,ENSDARG00000099101,ENSDARG00000099106,ENSDARG00000099389,ENSDARG00000099546,ENSDARG00000099579,ENSDARG00000099755,ENSDARG00000099776,ENSDARG00000099960,ENSDARG00000100003,ENSDARG00000100095,ENSDARG00000100185,ENSDARG00000100718,ENSDARG00000100818,ENSDARG00000100954,ENSDARG00000101074,ENSDARG00000101239,ENSDARG00000101251,ENSDARG00000101423,ENSDARG00000101561,ENSDARG00000101791,ENSDARG00000101886,ENSDARG00000102254,ENSDARG00000102977,ENSDARG00000103099,ENSDARG00000103347,ENSDARG00000103364,ENSDARG00000103380,ENSDARG00000103428,ENSDARG00000103456,ENSDARG00000103735,ENSDARG00000103826,ENSDARG00000104906,ENSDARG00000107385,ENSDARG00000111129,ENSDARG00000113657
GO:1990542	mitochondrial transmembrane transport	28	3	0.46	0.0104	ENSDARG00000001788,ENSDARG00000009939,ENSDARG00000013623,ENSDARG00000013749,ENSDARG00000016964,ENSDARG00000017960,ENSDARG00000020893,ENSDARG00000023151,ENSDARG00000024478,ENSDARG00000025566,ENSDARG00000026137,ENSDARG00000036721,ENSDARG00000037679,ENSDARG00000041223,ENSDARG00000056160,ENSDARG00000057374,ENSDARG00000059805,ENSDARG00000070083,ENSDARG00000070717,ENSDARG00000071396,ENSDARG00000074255,ENSDARG00000090861,ENSDARG00000092112,ENSDARG00000092553,ENSDARG00000093448,ENSDARG00000095897,ENSDARG00000102362,ENSDARG00000102822
GO:0098655	cation transmembrane transport	199	8	3.27	0.0159	ENSDARG00000000730,ENSDARG00000001354,ENSDARG00000001788,ENSDARG00000001803,ENSDARG00000001835,ENSDARG00000001870,ENSDARG00000002300,ENSDARG00000002791,ENSDARG00000002840,ENSDARG00000003699,ENSDARG00000006370,ENSDARG00000006760,ENSDARG00000006923,ENSDARG00000007129,ENSDARG00000007739,ENSDARG00000007788,ENSDARG00000008140,ENSDARG00000008398,ENSDARG00000008772,ENSDARG00000008982,ENSDARG00000009447,ENSDARG00000009901,ENSDARG00000009939,ENSDARG00000010149,ENSDARG00000010472,ENSDARG00000010933,ENSDARG00000011259,ENSDARG00000011422,ENSDARG00000011553,ENSDARG00000011909,ENSDARG00000013144,ENSDARG00000013443,ENSDARG00000013623,ENSDARG00000013694,ENSDARG00000013730,ENSDARG00000013855,ENSDARG00000014313,ENSDARG00000014496,ENSDARG00000014587,ENSDARG00000014655,ENSDARG00000014804,ENSDARG00000014858,ENSDARG00000015654,ENSDARG00000015790,ENSDARG00000015985,ENSDARG00000016141,ENSDARG00000016439,ENSDARG00000016695,ENSDARG00000016835,ENSDARG00000016964,ENSDARG00000017775,ENSDARG00000018105,ENSDARG00000018259,ENSDARG00000019253,ENSDARG00000019404,ENSDARG00000019856,ENSDARG00000020574,ENSDARG00000020847,ENSDARG00000022518,ENSDARG00000023151,ENSDARG00000023445,ENSDARG00000023683,ENSDARG00000023713,ENSDARG00000023797,ENSDARG00000023886,ENSDARG00000023967,ENSDARG00000024047,ENSDARG00000024167,ENSDARG00000024744,ENSDARG00000024771,ENSDARG00000025032,ENSDARG00000026682,ENSDARG00000027065,ENSDARG00000028824,ENSDARG00000029439,ENSDARG00000029457,ENSDARG00000030694,ENSDARG00000031278,ENSDARG00000031956,ENSDARG00000032970,ENSDARG00000034534,ENSDARG00000034588,ENSDARG00000035056,ENSDARG00000035458,ENSDARG00000035565,ENSDARG00000035880,ENSDARG00000036232,ENSDARG00000037153,ENSDARG00000037905,ENSDARG00000039131,ENSDARG00000039181,ENSDARG00000039392,ENSDARG00000040338,ENSDARG00000041223,ENSDARG00000041431,ENSDARG00000042107,ENSDARG00000042552,ENSDARG00000042837,ENSDARG00000043443,ENSDARG00000043465,ENSDARG00000043474,ENSDARG00000044752,ENSDARG00000044808,ENSDARG00000044902,ENSDARG00000045514,ENSDARG00000045944,ENSDARG00000051852,ENSDARG00000052011,ENSDARG00000054127,ENSDARG00000054458,ENSDARG00000054588,ENSDARG00000054658,ENSDARG00000055565,ENSDARG00000056101,ENSDARG00000056633,ENSDARG00000056719,ENSDARG00000057272,ENSDARG00000057853,ENSDARG00000058062,ENSDARG00000058117,ENSDARG00000058498,ENSDARG00000059792,ENSDARG00000059798,ENSDARG00000059805,ENSDARG00000059883,ENSDARG00000059993,ENSDARG00000060197,ENSDARG00000060496,ENSDARG00000061165,ENSDARG00000061665,ENSDARG00000061741,ENSDARG00000062058,ENSDARG00000062174,ENSDARG00000062346,ENSDARG00000062362,ENSDARG00000062447,ENSDARG00000062687,ENSDARG00000062744,ENSDARG00000063433,ENSDARG00000063435,ENSDARG00000068940,ENSDARG00000069090,ENSDARG00000070083,ENSDARG00000070726,ENSDARG00000071235,ENSDARG00000071331,ENSDARG00000073881,ENSDARG00000074002,ENSDARG00000074149,ENSDARG00000074255,ENSDARG00000074552,ENSDARG00000074746,ENSDARG00000075382,ENSDARG00000075618,ENSDARG00000076030,ENSDARG00000076318,ENSDARG00000076826,ENSDARG00000076870,ENSDARG00000077967,ENSDARG00000078113,ENSDARG00000078187,ENSDARG00000078733,ENSDARG00000078760,ENSDARG00000078959,ENSDARG00000078992,ENSDARG00000079295,ENSDARG00000088383,ENSDARG00000089255,ENSDARG00000090724,ENSDARG00000091126,ENSDARG00000091232,ENSDARG00000091293,ENSDARG00000091306,ENSDARG00000094561,ENSDARG00000095897,ENSDARG00000097057,ENSDARG00000098290,ENSDARG00000098355,ENSDARG00000098856,ENSDARG00000098918,ENSDARG00000099014,ENSDARG00000100420,ENSDARG00000100958,ENSDARG00000100971,ENSDARG00000101144,ENSDARG00000101368,ENSDARG00000102050,ENSDARG00000102773,ENSDARG00000103476,ENSDARG00000104387,ENSDARG00000104868,ENSDARG00000105142,ENSDARG00000105344,ENSDARG00000105485,ENSDARG00000110642,ENSDARG00000112343,ENSDARG00000113064,ENSDARG00000113525,ENSDARG00000115557
GO:0002088	lens development in camera-type eye	33	3	0.54	0.0164	ENSDARG00000004672,ENSDARG00000007576,ENSDARG00000007715,ENSDARG00000013251,ENSDARG00000013963,ENSDARG00000014803,ENSDARG00000016421,ENSDARG00000016793,ENSDARG00000017844,ENSDARG00000023861,ENSDARG00000024548,ENSDARG00000030756,ENSDARG00000032929,ENSDARG00000036140,ENSDARG00000040738,ENSDARG00000041179,ENSDARG00000045936,ENSDARG00000053875,ENSDARG00000057460,ENSDARG00000060340,ENSDARG00000061699,ENSDARG00000069792,ENSDARG00000069801,ENSDARG00000069826,ENSDARG00000069827,ENSDARG00000070674,ENSDARG00000070686,ENSDARG00000074001,ENSDARG00000076790,ENSDARG00000087324,ENSDARG00000091148,ENSDARG00000100021,ENSDARG00000116164
GO:0045785	positive regulation of cell adhesion	13	2	0.21	0.0185	ENSDARG00000001710,ENSDARG00000006385,ENSDARG00000007743,ENSDARG00000014976,ENSDARG00000026726,ENSDARG00000026985,ENSDARG00000045417,ENSDARG00000045958,ENSDARG00000052361,ENSDARG00000056160,ENSDARG00000088680,ENSDARG00000098481,ENSDARG00000100095
GO:0006631	fatty acid metabolic process	63	4	1.03	0.0194	ENSDARG00000001169,ENSDARG00000002947,ENSDARG00000004078,ENSDARG00000004687,ENSDARG00000006240,ENSDARG00000007127,ENSDARG00000014674,ENSDARG00000014806,ENSDARG00000015563,ENSDARG00000016789,ENSDARG00000017781,ENSDARG00000018653,ENSDARG00000019532,ENSDARG00000020239,ENSDARG00000020956,ENSDARG00000026726,ENSDARG00000030514,ENSDARG00000030765,ENSDARG00000031044,ENSDARG00000032079,ENSDARG00000033413,ENSDARG00000037057,ENSDARG00000037091,ENSDARG00000037284,ENSDARG00000038865,ENSDARG00000038900,ENSDARG00000042122,ENSDARG00000045522,ENSDARG00000046143,ENSDARG00000053483,ENSDARG00000054323,ENSDARG00000057128,ENSDARG00000057365,ENSDARG00000058229,ENSDARG00000058285,ENSDARG00000058463,ENSDARG00000059770,ENSDARG00000060594,ENSDARG00000061214,ENSDARG00000061585,ENSDARG00000061994,ENSDARG00000062132,ENSDARG00000067520,ENSDARG00000068415,ENSDARG00000068551,ENSDARG00000070673,ENSDARG00000073820,ENSDARG00000074169,ENSDARG00000075931,ENSDARG00000078512,ENSDARG00000087657,ENSDARG00000088357,ENSDARG00000088524,ENSDARG00000098481,ENSDARG00000098831,ENSDARG00000099079,ENSDARG00000099960,ENSDARG00000100095,ENSDARG00000100185,ENSDARG00000101239,ENSDARG00000103380,ENSDARG00000103735,ENSDARG00000113657
GO:0071616	acyl-CoA biosynthetic process	14	2	0.23	0.0213	ENSDARG00000012387,ENSDARG00000015918,ENSDARG00000021346,ENSDARG00000030514,ENSDARG00000037057,ENSDARG00000037781,ENSDARG00000061994,ENSDARG00000075931,ENSDARG00000098831,ENSDARG00000099079,ENSDARG00000099960,ENSDARG00000100185,ENSDARG00000103735,ENSDARG00000113657
