GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0016459	myosin complex	55	5	0.97	0.0027	ENSDARG00000000103,ENSDARG00000001014,ENSDARG00000001993,ENSDARG00000003872,ENSDARG00000009133,ENSDARG00000009782,ENSDARG00000010186,ENSDARG00000012944,ENSDARG00000020924,ENSDARG00000024694,ENSDARG00000025218,ENSDARG00000035322,ENSDARG00000035438,ENSDARG00000036179,ENSDARG00000036863,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000055607,ENSDARG00000058946,ENSDARG00000061579,ENSDARG00000061810,ENSDARG00000061862,ENSDARG00000061968,ENSDARG00000062003,ENSDARG00000063295,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073843,ENSDARG00000074143,ENSDARG00000074723,ENSDARG00000075292,ENSDARG00000075752,ENSDARG00000076075,ENSDARG00000076357,ENSDARG00000076729,ENSDARG00000077201,ENSDARG00000077410,ENSDARG00000078313,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000079782,ENSDARG00000095930,ENSDARG00000098747,ENSDARG00000099959,ENSDARG00000100972,ENSDARG00000102414,ENSDARG00000103969,ENSDARG00000104235,ENSDARG00000110596,ENSDARG00000112287,ENSDARG00000114818
GO:0005852	eukaryotic translation initiation factor...	12	2	0.21	0.0181	ENSDARG00000012603,ENSDARG00000013931,ENSDARG00000016443,ENSDARG00000016889,ENSDARG00000017445,ENSDARG00000021257,ENSDARG00000053370,ENSDARG00000059654,ENSDARG00000068289,ENSDARG00000076815,ENSDARG00000077533,ENSDARG00000097988
GO:0005793	endoplasmic reticulum-Golgi intermediate...	14	2	0.25	0.0245	ENSDARG00000020574,ENSDARG00000026068,ENSDARG00000029057,ENSDARG00000030108,ENSDARG00000036291,ENSDARG00000036299,ENSDARG00000054833,ENSDARG00000061951,ENSDARG00000063330,ENSDARG00000069980,ENSDARG00000099923,ENSDARG00000100435,ENSDARG00000102657,ENSDARG00000103011
GO:0042995	cell projection	248	9	4.38	0.0299	ENSDARG00000000086,ENSDARG00000000161,ENSDARG00000000730,ENSDARG00000001354,ENSDARG00000001431,ENSDARG00000001825,ENSDARG00000002952,ENSDARG00000003022,ENSDARG00000004131,ENSDARG00000004621,ENSDARG00000004672,ENSDARG00000005645,ENSDARG00000005704,ENSDARG00000006169,ENSDARG00000006683,ENSDARG00000006862,ENSDARG00000007220,ENSDARG00000008140,ENSDARG00000008170,ENSDARG00000008487,ENSDARG00000008639,ENSDARG00000008735,ENSDARG00000008785,ENSDARG00000009046,ENSDARG00000009133,ENSDARG00000009610,ENSDARG00000011240,ENSDARG00000011564,ENSDARG00000011640,ENSDARG00000011727,ENSDARG00000011777,ENSDARG00000012449,ENSDARG00000012610,ENSDARG00000012874,ENSDARG00000013472,ENSDARG00000013755,ENSDARG00000015240,ENSDARG00000016016,ENSDARG00000016141,ENSDARG00000016918,ENSDARG00000017391,ENSDARG00000017504,ENSDARG00000017901,ENSDARG00000018602,ENSDARG00000019117,ENSDARG00000019231,ENSDARG00000019342,ENSDARG00000019383,ENSDARG00000019743,ENSDARG00000019881,ENSDARG00000022045,ENSDARG00000022260,ENSDARG00000022841,ENSDARG00000022968,ENSDARG00000023495,ENSDARG00000023914,ENSDARG00000024209,ENSDARG00000024694,ENSDARG00000025383,ENSDARG00000025902,ENSDARG00000026531,ENSDARG00000026726,ENSDARG00000027129,ENSDARG00000027234,ENSDARG00000027423,ENSDARG00000027590,ENSDARG00000027828,ENSDARG00000028973,ENSDARG00000030106,ENSDARG00000030490,ENSDARG00000030750,ENSDARG00000031886,ENSDARG00000032126,ENSDARG00000032458,ENSDARG00000032482,ENSDARG00000032714,ENSDARG00000032737,ENSDARG00000033655,ENSDARG00000034007,ENSDARG00000034307,ENSDARG00000034941,ENSDARG00000035056,ENSDARG00000035650,ENSDARG00000035870,ENSDARG00000036082,ENSDARG00000036179,ENSDARG00000036189,ENSDARG00000036774,ENSDARG00000037020,ENSDARG00000037079,ENSDARG00000037122,ENSDARG00000037406,ENSDARG00000037498,ENSDARG00000037560,ENSDARG00000038010,ENSDARG00000038024,ENSDARG00000038432,ENSDARG00000039406,ENSDARG00000039577,ENSDARG00000039966,ENSDARG00000040380,ENSDARG00000040466,ENSDARG00000040556,ENSDARG00000040965,ENSDARG00000040991,ENSDARG00000041621,ENSDARG00000041735,ENSDARG00000042529,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000045639,ENSDARG00000045944,ENSDARG00000051852,ENSDARG00000051876,ENSDARG00000052575,ENSDARG00000052765,ENSDARG00000052769,ENSDARG00000052782,ENSDARG00000053232,ENSDARG00000053455,ENSDARG00000053617,ENSDARG00000053956,ENSDARG00000055206,ENSDARG00000055455,ENSDARG00000055472,ENSDARG00000056101,ENSDARG00000056206,ENSDARG00000056347,ENSDARG00000056519,ENSDARG00000056633,ENSDARG00000056964,ENSDARG00000056985,ENSDARG00000057025,ENSDARG00000057317,ENSDARG00000057427,ENSDARG00000057635,ENSDARG00000057984,ENSDARG00000058103,ENSDARG00000058117,ENSDARG00000058207,ENSDARG00000058219,ENSDARG00000058416,ENSDARG00000058498,ENSDARG00000059601,ENSDARG00000059855,ENSDARG00000059911,ENSDARG00000059987,ENSDARG00000060058,ENSDARG00000060072,ENSDARG00000060298,ENSDARG00000060361,ENSDARG00000060380,ENSDARG00000060711,ENSDARG00000060734,ENSDARG00000061165,ENSDARG00000061213,ENSDARG00000061486,ENSDARG00000061579,ENSDARG00000061817,ENSDARG00000061830,ENSDARG00000061968,ENSDARG00000062165,ENSDARG00000062385,ENSDARG00000062531,ENSDARG00000062727,ENSDARG00000062744,ENSDARG00000062806,ENSDARG00000062902,ENSDARG00000063054,ENSDARG00000063580,ENSDARG00000067606,ENSDARG00000067777,ENSDARG00000068678,ENSDARG00000068745,ENSDARG00000068855,ENSDARG00000068910,ENSDARG00000069269,ENSDARG00000069660,ENSDARG00000070724,ENSDARG00000070917,ENSDARG00000071018,ENSDARG00000071353,ENSDARG00000071395,ENSDARG00000071424,ENSDARG00000073883,ENSDARG00000074002,ENSDARG00000074131,ENSDARG00000074575,ENSDARG00000074723,ENSDARG00000074746,ENSDARG00000074777,ENSDARG00000074839,ENSDARG00000075169,ENSDARG00000075295,ENSDARG00000076055,ENSDARG00000076752,ENSDARG00000077045,ENSDARG00000078014,ENSDARG00000078139,ENSDARG00000078542,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078935,ENSDARG00000079110,ENSDARG00000079336,ENSDARG00000079420,ENSDARG00000079905,ENSDARG00000087107,ENSDARG00000087538,ENSDARG00000087599,ENSDARG00000087954,ENSDARG00000089139,ENSDARG00000089207,ENSDARG00000089212,ENSDARG00000090624,ENSDARG00000090778,ENSDARG00000090971,ENSDARG00000091306,ENSDARG00000098290,ENSDARG00000098481,ENSDARG00000099113,ENSDARG00000099279,ENSDARG00000099672,ENSDARG00000100095,ENSDARG00000100105,ENSDARG00000100231,ENSDARG00000100729,ENSDARG00000100752,ENSDARG00000100851,ENSDARG00000101759,ENSDARG00000101975,ENSDARG00000102128,ENSDARG00000102261,ENSDARG00000102443,ENSDARG00000102750,ENSDARG00000102889,ENSDARG00000102902,ENSDARG00000103002,ENSDARG00000103467,ENSDARG00000103887,ENSDARG00000104413,ENSDARG00000104549,ENSDARG00000104713,ENSDARG00000105296,ENSDARG00000105391,ENSDARG00000111812,ENSDARG00000112431
GO:0009897	external side of plasma membrane	17	2	0.3	0.0353	ENSDARG00000001470,ENSDARG00000008735,ENSDARG00000015654,ENSDARG00000023203,ENSDARG00000036588,ENSDARG00000052157,ENSDARG00000060498,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000069471,ENSDARG00000075963,ENSDARG00000088680,ENSDARG00000092731,ENSDARG00000097275,ENSDARG00000099738,ENSDARG00000101322
GO:0005929	cilium	73	4	1.29	0.0393	ENSDARG00000001825,ENSDARG00000002952,ENSDARG00000004131,ENSDARG00000006862,ENSDARG00000008639,ENSDARG00000008785,ENSDARG00000009046,ENSDARG00000011240,ENSDARG00000011727,ENSDARG00000012449,ENSDARG00000012610,ENSDARG00000013472,ENSDARG00000016918,ENSDARG00000023495,ENSDARG00000025383,ENSDARG00000026726,ENSDARG00000027129,ENSDARG00000027234,ENSDARG00000027590,ENSDARG00000028973,ENSDARG00000031886,ENSDARG00000032126,ENSDARG00000034007,ENSDARG00000034941,ENSDARG00000036189,ENSDARG00000037079,ENSDARG00000037406,ENSDARG00000038024,ENSDARG00000039406,ENSDARG00000040556,ENSDARG00000041621,ENSDARG00000041735,ENSDARG00000042529,ENSDARG00000051876,ENSDARG00000052575,ENSDARG00000053455,ENSDARG00000057635,ENSDARG00000058219,ENSDARG00000058416,ENSDARG00000059855,ENSDARG00000059911,ENSDARG00000059987,ENSDARG00000060298,ENSDARG00000060361,ENSDARG00000061486,ENSDARG00000062165,ENSDARG00000062385,ENSDARG00000062806,ENSDARG00000062902,ENSDARG00000067606,ENSDARG00000067777,ENSDARG00000068678,ENSDARG00000068855,ENSDARG00000069269,ENSDARG00000075169,ENSDARG00000075295,ENSDARG00000076055,ENSDARG00000076752,ENSDARG00000077045,ENSDARG00000078935,ENSDARG00000079110,ENSDARG00000079336,ENSDARG00000087107,ENSDARG00000089139,ENSDARG00000090778,ENSDARG00000090971,ENSDARG00000098481,ENSDARG00000099279,ENSDARG00000100095,ENSDARG00000100231,ENSDARG00000102261,ENSDARG00000102889,ENSDARG00000105391
GO:0005891	voltage-gated calcium channel complex	19	2	0.34	0.0434	ENSDARG00000006923,ENSDARG00000008398,ENSDARG00000008772,ENSDARG00000010933,ENSDARG00000014804,ENSDARG00000023683,ENSDARG00000023886,ENSDARG00000029457,ENSDARG00000037905,ENSDARG00000042552,ENSDARG00000055565,ENSDARG00000060496,ENSDARG00000062174,ENSDARG00000062346,ENSDARG00000076030,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000102773,ENSDARG00000110642
GO:0099023	tethering complex	19	2	0.34	0.0434	ENSDARG00000005547,ENSDARG00000008414,ENSDARG00000014582,ENSDARG00000026068,ENSDARG00000027418,ENSDARG00000033171,ENSDARG00000038866,ENSDARG00000043019,ENSDARG00000051899,ENSDARG00000059424,ENSDARG00000059902,ENSDARG00000060323,ENSDARG00000069324,ENSDARG00000087229,ENSDARG00000098118,ENSDARG00000102960,ENSDARG00000103149,ENSDARG00000105131,ENSDARG00000111785
GO:0005739	mitochondrion	313	10	5.53	0.0478	ENSDARG00000001557,ENSDARG00000001788,ENSDARG00000001929,ENSDARG00000002305,ENSDARG00000003035,ENSDARG00000003144,ENSDARG00000003693,ENSDARG00000003695,ENSDARG00000003846,ENSDARG00000005320,ENSDARG00000005561,ENSDARG00000005840,ENSDARG00000005926,ENSDARG00000006031,ENSDARG00000006137,ENSDARG00000006169,ENSDARG00000006240,ENSDARG00000007127,ENSDARG00000007181,ENSDARG00000007916,ENSDARG00000008568,ENSDARG00000008785,ENSDARG00000008816,ENSDARG00000009447,ENSDARG00000009939,ENSDARG00000010149,ENSDARG00000010434,ENSDARG00000010572,ENSDARG00000010862,ENSDARG00000011146,ENSDARG00000011196,ENSDARG00000011553,ENSDARG00000011884,ENSDARG00000012072,ENSDARG00000012194,ENSDARG00000012325,ENSDARG00000012915,ENSDARG00000013063,ENSDARG00000013128,ENSDARG00000013333,ENSDARG00000013623,ENSDARG00000013776,ENSDARG00000014230,ENSDARG00000014313,ENSDARG00000014506,ENSDARG00000014676,ENSDARG00000014956,ENSDARG00000015385,ENSDARG00000015918,ENSDARG00000016598,ENSDARG00000016687,ENSDARG00000016964,ENSDARG00000016979,ENSDARG00000017571,ENSDARG00000017728,ENSDARG00000017775,ENSDARG00000017781,ENSDARG00000017960,ENSDARG00000018073,ENSDARG00000018569,ENSDARG00000018944,ENSDARG00000019236,ENSDARG00000019404,ENSDARG00000019596,ENSDARG00000019732,ENSDARG00000020123,ENSDARG00000020239,ENSDARG00000020387,ENSDARG00000020623,ENSDARG00000020876,ENSDARG00000020893,ENSDARG00000020956,ENSDARG00000021346,ENSDARG00000021404,ENSDARG00000023151,ENSDARG00000023645,ENSDARG00000023648,ENSDARG00000024465,ENSDARG00000024478,ENSDARG00000024564,ENSDARG00000025032,ENSDARG00000025383,ENSDARG00000025549,ENSDARG00000025566,ENSDARG00000025703,ENSDARG00000026137,ENSDARG00000026444,ENSDARG00000026582,ENSDARG00000027465,ENSDARG00000027984,ENSDARG00000028131,ENSDARG00000028546,ENSDARG00000028982,ENSDARG00000029064,ENSDARG00000029088,ENSDARG00000029100,ENSDARG00000030278,ENSDARG00000030641,ENSDARG00000030765,ENSDARG00000031098,ENSDARG00000031587,ENSDARG00000032102,ENSDARG00000032618,ENSDARG00000032876,ENSDARG00000032970,ENSDARG00000033789,ENSDARG00000033802,ENSDARG00000034060,ENSDARG00000034270,ENSDARG00000035167,ENSDARG00000035468,ENSDARG00000036329,ENSDARG00000036438,ENSDARG00000036721,ENSDARG00000036764,ENSDARG00000037350,ENSDARG00000037679,ENSDARG00000038703,ENSDARG00000038845,ENSDARG00000038900,ENSDARG00000038910,ENSDARG00000039243,ENSDARG00000039346,ENSDARG00000039350,ENSDARG00000039374,ENSDARG00000039452,ENSDARG00000039929,ENSDARG00000040555,ENSDARG00000041068,ENSDARG00000041223,ENSDARG00000041306,ENSDARG00000041314,ENSDARG00000041400,ENSDARG00000041407,ENSDARG00000041421,ENSDARG00000041570,ENSDARG00000042469,ENSDARG00000042777,ENSDARG00000042799,ENSDARG00000042853,ENSDARG00000042872,ENSDARG00000043154,ENSDARG00000043371,ENSDARG00000044134,ENSDARG00000044753,ENSDARG00000044809,ENSDARG00000044925,ENSDARG00000044942,ENSDARG00000045294,ENSDARG00000045490,ENSDARG00000045733,ENSDARG00000045814,ENSDARG00000045843,ENSDARG00000051756,ENSDARG00000051923,ENSDARG00000051986,ENSDARG00000052304,ENSDARG00000052840,ENSDARG00000053456,ENSDARG00000053518,ENSDARG00000053652,ENSDARG00000053753,ENSDARG00000053805,ENSDARG00000054319,ENSDARG00000054533,ENSDARG00000054588,ENSDARG00000054821,ENSDARG00000054848,ENSDARG00000054849,ENSDARG00000054929,ENSDARG00000055064,ENSDARG00000055288,ENSDARG00000055339,ENSDARG00000055344,ENSDARG00000055679,ENSDARG00000056160,ENSDARG00000056270,ENSDARG00000056510,ENSDARG00000056583,ENSDARG00000056978,ENSDARG00000057055,ENSDARG00000057128,ENSDARG00000057374,ENSDARG00000057855,ENSDARG00000058041,ENSDARG00000058088,ENSDARG00000058102,ENSDARG00000058285,ENSDARG00000058352,ENSDARG00000058463,ENSDARG00000058494,ENSDARG00000059054,ENSDARG00000059770,ENSDARG00000059805,ENSDARG00000060005,ENSDARG00000060380,ENSDARG00000060594,ENSDARG00000060748,ENSDARG00000060921,ENSDARG00000060951,ENSDARG00000062226,ENSDARG00000062237,ENSDARG00000062272,ENSDARG00000062370,ENSDARG00000062372,ENSDARG00000062943,ENSDARG00000063574,ENSDARG00000067796,ENSDARG00000068125,ENSDARG00000068478,ENSDARG00000068940,ENSDARG00000069044,ENSDARG00000069142,ENSDARG00000069386,ENSDARG00000069615,ENSDARG00000069624,ENSDARG00000069671,ENSDARG00000069733,ENSDARG00000069850,ENSDARG00000069920,ENSDARG00000070083,ENSDARG00000070801,ENSDARG00000070824,ENSDARG00000071353,ENSDARG00000071396,ENSDARG00000071691,ENSDARG00000073704,ENSDARG00000074169,ENSDARG00000074255,ENSDARG00000074356,ENSDARG00000074435,ENSDARG00000074508,ENSDARG00000074552,ENSDARG00000074933,ENSDARG00000074985,ENSDARG00000075395,ENSDARG00000075422,ENSDARG00000075743,ENSDARG00000075923,ENSDARG00000075931,ENSDARG00000076360,ENSDARG00000076780,ENSDARG00000076836,ENSDARG00000077481,ENSDARG00000077549,ENSDARG00000077698,ENSDARG00000077967,ENSDARG00000078113,ENSDARG00000078500,ENSDARG00000078593,ENSDARG00000078759,ENSDARG00000078773,ENSDARG00000079122,ENSDARG00000086746,ENSDARG00000086848,ENSDARG00000087191,ENSDARG00000088013,ENSDARG00000088357,ENSDARG00000088383,ENSDARG00000089369,ENSDARG00000090389,ENSDARG00000090568,ENSDARG00000090861,ENSDARG00000092052,ENSDARG00000092112,ENSDARG00000092305,ENSDARG00000092553,ENSDARG00000092677,ENSDARG00000092873,ENSDARG00000093381,ENSDARG00000093448,ENSDARG00000095157,ENSDARG00000095897,ENSDARG00000096003,ENSDARG00000097797,ENSDARG00000097803,ENSDARG00000098355,ENSDARG00000098441,ENSDARG00000098584,ENSDARG00000098746,ENSDARG00000099079,ENSDARG00000099358,ENSDARG00000099455,ENSDARG00000099579,ENSDARG00000099791,ENSDARG00000099908,ENSDARG00000099996,ENSDARG00000099997,ENSDARG00000100021,ENSDARG00000100374,ENSDARG00000100718,ENSDARG00000101074,ENSDARG00000101561,ENSDARG00000102362,ENSDARG00000102822,ENSDARG00000102874,ENSDARG00000103007,ENSDARG00000103101,ENSDARG00000103163,ENSDARG00000103313,ENSDARG00000103364,ENSDARG00000103380,ENSDARG00000103428,ENSDARG00000103740,ENSDARG00000103856,ENSDARG00000103889,ENSDARG00000104111,ENSDARG00000104172,ENSDARG00000104733,ENSDARG00000105243,ENSDARG00000113254,ENSDARG00000114019,ENSDARG00000115557
GO:0120025	plasma membrane bounded cell projection	229	8	4.05	0.0480	ENSDARG00000000730,ENSDARG00000001354,ENSDARG00000001825,ENSDARG00000002952,ENSDARG00000003022,ENSDARG00000004131,ENSDARG00000004621,ENSDARG00000004672,ENSDARG00000005645,ENSDARG00000005704,ENSDARG00000006169,ENSDARG00000006683,ENSDARG00000006862,ENSDARG00000007220,ENSDARG00000008140,ENSDARG00000008170,ENSDARG00000008487,ENSDARG00000008639,ENSDARG00000008735,ENSDARG00000008785,ENSDARG00000009046,ENSDARG00000009133,ENSDARG00000009610,ENSDARG00000011240,ENSDARG00000011564,ENSDARG00000011640,ENSDARG00000011727,ENSDARG00000011777,ENSDARG00000012449,ENSDARG00000012610,ENSDARG00000012874,ENSDARG00000013472,ENSDARG00000015240,ENSDARG00000016016,ENSDARG00000016141,ENSDARG00000016918,ENSDARG00000017391,ENSDARG00000017504,ENSDARG00000017901,ENSDARG00000018602,ENSDARG00000019117,ENSDARG00000019231,ENSDARG00000019342,ENSDARG00000019383,ENSDARG00000019743,ENSDARG00000019881,ENSDARG00000022045,ENSDARG00000022260,ENSDARG00000022841,ENSDARG00000022968,ENSDARG00000023495,ENSDARG00000023914,ENSDARG00000024209,ENSDARG00000024694,ENSDARG00000025383,ENSDARG00000025902,ENSDARG00000026531,ENSDARG00000026726,ENSDARG00000027129,ENSDARG00000027234,ENSDARG00000027423,ENSDARG00000027590,ENSDARG00000027828,ENSDARG00000028973,ENSDARG00000030106,ENSDARG00000030750,ENSDARG00000031886,ENSDARG00000032126,ENSDARG00000032458,ENSDARG00000032482,ENSDARG00000032714,ENSDARG00000032737,ENSDARG00000033655,ENSDARG00000034007,ENSDARG00000034307,ENSDARG00000034941,ENSDARG00000035056,ENSDARG00000035650,ENSDARG00000036082,ENSDARG00000036179,ENSDARG00000036189,ENSDARG00000036774,ENSDARG00000037020,ENSDARG00000037079,ENSDARG00000037122,ENSDARG00000037406,ENSDARG00000037498,ENSDARG00000037560,ENSDARG00000038024,ENSDARG00000038432,ENSDARG00000039406,ENSDARG00000039577,ENSDARG00000039966,ENSDARG00000040380,ENSDARG00000040466,ENSDARG00000040556,ENSDARG00000040965,ENSDARG00000040991,ENSDARG00000041621,ENSDARG00000041735,ENSDARG00000042529,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000045639,ENSDARG00000045944,ENSDARG00000051852,ENSDARG00000051876,ENSDARG00000052575,ENSDARG00000052765,ENSDARG00000052769,ENSDARG00000052782,ENSDARG00000053232,ENSDARG00000053455,ENSDARG00000053617,ENSDARG00000055206,ENSDARG00000055455,ENSDARG00000056101,ENSDARG00000056206,ENSDARG00000056347,ENSDARG00000056519,ENSDARG00000056633,ENSDARG00000056964,ENSDARG00000057025,ENSDARG00000057317,ENSDARG00000057427,ENSDARG00000057635,ENSDARG00000057984,ENSDARG00000058103,ENSDARG00000058117,ENSDARG00000058207,ENSDARG00000058219,ENSDARG00000058416,ENSDARG00000058498,ENSDARG00000059601,ENSDARG00000059855,ENSDARG00000059911,ENSDARG00000059987,ENSDARG00000060072,ENSDARG00000060298,ENSDARG00000060361,ENSDARG00000060711,ENSDARG00000060734,ENSDARG00000061165,ENSDARG00000061486,ENSDARG00000061579,ENSDARG00000061817,ENSDARG00000061830,ENSDARG00000061968,ENSDARG00000062165,ENSDARG00000062385,ENSDARG00000062531,ENSDARG00000062744,ENSDARG00000062806,ENSDARG00000062902,ENSDARG00000063054,ENSDARG00000063580,ENSDARG00000067606,ENSDARG00000067777,ENSDARG00000068678,ENSDARG00000068745,ENSDARG00000068855,ENSDARG00000068910,ENSDARG00000069269,ENSDARG00000069660,ENSDARG00000070724,ENSDARG00000070917,ENSDARG00000071353,ENSDARG00000071395,ENSDARG00000071424,ENSDARG00000074002,ENSDARG00000074131,ENSDARG00000074575,ENSDARG00000074723,ENSDARG00000074746,ENSDARG00000074777,ENSDARG00000075169,ENSDARG00000075295,ENSDARG00000076055,ENSDARG00000076752,ENSDARG00000077045,ENSDARG00000078014,ENSDARG00000078139,ENSDARG00000078542,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078935,ENSDARG00000079110,ENSDARG00000079336,ENSDARG00000079420,ENSDARG00000079905,ENSDARG00000087107,ENSDARG00000087538,ENSDARG00000087599,ENSDARG00000087954,ENSDARG00000089139,ENSDARG00000089207,ENSDARG00000089212,ENSDARG00000090624,ENSDARG00000090778,ENSDARG00000090971,ENSDARG00000091306,ENSDARG00000098290,ENSDARG00000098481,ENSDARG00000099113,ENSDARG00000099279,ENSDARG00000099672,ENSDARG00000100095,ENSDARG00000100231,ENSDARG00000100729,ENSDARG00000100752,ENSDARG00000100851,ENSDARG00000101759,ENSDARG00000101975,ENSDARG00000102128,ENSDARG00000102261,ENSDARG00000102443,ENSDARG00000102750,ENSDARG00000102889,ENSDARG00000102902,ENSDARG00000103002,ENSDARG00000103467,ENSDARG00000103887,ENSDARG00000104413,ENSDARG00000104549,ENSDARG00000105296,ENSDARG00000105391,ENSDARG00000111812,ENSDARG00000112431
